,YearStart,LocationAbbr,LocationDesc,Question,Data_Value,Data_Value_Alt,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,LocationID,StratificationCategory1,Stratification1
617,2014,AL,Alabama,Percent of adults aged 18 years and older who have obesity,31.0,31.0,1425.0,,,,,"$75,000 or greater",,"(32.84057112200048, -86.63186076199969)",1,Income,"$75,000 or greater"
618,2014,AL,Alabama,Percent of adults aged 18 years and older who have obesity,28.0,28.0,1530.0,,,,,Data not reported,,"(32.84057112200048, -86.63186076199969)",1,Income,Data not reported
619,2014,AL,Alabama,Percent of adults aged 18 years and older who have obesity,31.4,31.4,5747.0,,,,,,Non-Hispanic White,"(32.84057112200048, -86.63186076199969)",1,Race/Ethnicity,Non-Hispanic White
621,2014,AL,Alabama,Percent of adults aged 18 years and older who have obesity,41.9,41.9,2029.0,,,,,,Non-Hispanic Black,"(32.84057112200048, -86.63186076199969)",1,Race/Ethnicity,Non-Hispanic Black
622,2014,AL,Alabama,Percent of adults aged 18 years and older who have obesity,22.9,22.9,70.0,,,,,,Hispanic,"(32.84057112200048, -86.63186076199969)",1,Race/Ethnicity,Hispanic
623,2014,AL,Alabama,Percent of adults aged 18 years and older who have obesity,,,,,,,,,Asian,"(32.84057112200048, -86.63186076199969)",1,Race/Ethnicity,Asian
624,2014,AL,Alabama,Percent of adults aged 18 years and older who have obesity,,,,,,,,,Hawaiian/Pacific Islander,"(32.84057112200048, -86.63186076199969)",1,Race/Ethnicity,Hawaiian/Pacific Islander
625,2014,AL,Alabama,Percent of adults aged 18 years and older who have obesity,35.2,35.2,90.0,,,,,,American Indian/Alaska Native,"(32.84057112200048, -86.63186076199969)",1,Race/Ethnicity,American Indian/Alaska Native
626,2014,AL,Alabama,Percent of adults aged 18 years and older who have obesity,39.3,39.3,90.0,,,,,,2 or more races,"(32.84057112200048, -86.63186076199969)",1,Race/Ethnicity,2 or more races
627,2014,AL,Alabama,Percent of adults aged 18 years and older who have obesity,,,,,,,,,Other,"(32.84057112200048, -86.63186076199969)",1,Race/Ethnicity,Other
628,2014,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,33.4,33.4,8190.0,Total,,,,,,"(32.84057112200048, -86.63186076199969)",1,Total,Total
629,2014,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,37.2,37.2,3034.0,,,,Male,,,"(32.84057112200048, -86.63186076199969)",1,Gender,Male
630,2014,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,29.8,29.8,5156.0,,,,Female,,,"(32.84057112200048, -86.63186076199969)",1,Gender,Female
631,2014,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,29.9,29.9,995.0,,,Less than high school,,,,"(32.84057112200048, -86.63186076199969)",1,Education,Less than high school
632,2014,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,32.7,32.7,2622.0,,,High school graduate,,,,"(32.84057112200048, -86.63186076199969)",1,Education,High school graduate
633,2014,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,33.5,33.5,2333.0,,,Some college or technical school,,,,"(32.84057112200048, -86.63186076199969)",1,Education,Some college or technical school
634,2014,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,37.6,37.6,2231.0,,,College graduate,,,,"(32.84057112200048, -86.63186076199969)",1,Education,College graduate
635,2014,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,26.3,26.3,409.0,,18 - 24,,,,,"(32.84057112200048, -86.63186076199969)",1,Age (years),18 - 24
636,2014,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,32.3,32.3,703.0,,25 - 34,,,,,"(32.84057112200048, -86.63186076199969)",1,Age (years),25 - 34
637,2014,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,31.3,31.3,839.0,,35 - 44,,,,,"(32.84057112200048, -86.63186076199969)",1,Age (years),35 - 44
638,2014,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,33.5,33.5,1364.0,,45 - 54,,,,,"(32.84057112200048, -86.63186076199969)",1,Age (years),45 - 54
639,2014,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,39.0,39.0,2989.0,,65 or older,,,,,"(32.84057112200048, -86.63186076199969)",1,Age (years),65 or older
640,2014,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,27.7,27.7,1108.0,,,,,"Less than $15,000",,"(32.84057112200048, -86.63186076199969)",1,Income,"Less than $15,000"
641,2014,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,30.2,30.2,1406.0,,,,,"$15,000 - $24,999",,"(32.84057112200048, -86.63186076199969)",1,Income,"$15,000 - $24,999"
642,2014,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,28.6,28.6,776.0,,,,,"$25,000 - $34,999",,"(32.84057112200048, -86.63186076199969)",1,Income,"$25,000 - $34,999"
643,2014,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,37.9,37.9,986.0,,,,,"$35,000 - $49,999",,"(32.84057112200048, -86.63186076199969)",1,Income,"$35,000 - $49,999"
644,2014,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,40.6,40.6,959.0,,,,,"$50,000 - $74,999",,"(32.84057112200048, -86.63186076199969)",1,Income,"$50,000 - $74,999"
645,2014,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,35.4,35.4,1425.0,,,,,"$75,000 or greater",,"(32.84057112200048, -86.63186076199969)",1,Income,"$75,000 or greater"
646,2014,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,32.7,32.7,1530.0,,,,,Data not reported,,"(32.84057112200048, -86.63186076199969)",1,Income,Data not reported
647,2014,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,34.6,34.6,5747.0,,,,,,Non-Hispanic White,"(32.84057112200048, -86.63186076199969)",1,Race/Ethnicity,Non-Hispanic White
648,2014,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,29.9,29.9,2029.0,,,,,,Non-Hispanic Black,"(32.84057112200048, -86.63186076199969)",1,Race/Ethnicity,Non-Hispanic Black
649,2014,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,32.2,32.2,70.0,,,,,,Hispanic,"(32.84057112200048, -86.63186076199969)",1,Race/Ethnicity,Hispanic
650,2014,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,,,,,,,,,Asian,"(32.84057112200048, -86.63186076199969)",1,Race/Ethnicity,Asian
651,2014,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,,,,,,,,,Hawaiian/Pacific Islander,"(32.84057112200048, -86.63186076199969)",1,Race/Ethnicity,Hawaiian/Pacific Islander
652,2014,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,33.6,33.6,90.0,,,,,,American Indian/Alaska Native,"(32.84057112200048, -86.63186076199969)",1,Race/Ethnicity,American Indian/Alaska Native
653,2014,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,35.2,35.2,90.0,,,,,,2 or more races,"(32.84057112200048, -86.63186076199969)",1,Race/Ethnicity,2 or more races
654,2014,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,,,,,,,,,Other,"(32.84057112200048, -86.63186076199969)",1,Race/Ethnicity,Other
1233,2014,AK,Alaska,Percent of adults aged 18 years and older who have obesity,29.7,29.7,4142.0,Total,,,,,,"(64.84507995700051, -147.72205903599973)",2,Total,Total
1270,2014,AK,Alaska,Percent of adults aged 18 years and older who have obesity,29.3,29.3,1921.0,,,,Male,,,"(64.84507995700051, -147.72205903599973)",2,Gender,Male
1271,2014,AK,Alaska,Percent of adults aged 18 years and older who have obesity,30.2,30.2,2221.0,,,,Female,,,"(64.84507995700051, -147.72205903599973)",2,Gender,Female
1272,2014,AK,Alaska,Percent of adults aged 18 years and older who have obesity,32.8,32.8,218.0,,,Less than high school,,,,"(64.84507995700051, -147.72205903599973)",2,Education,Less than high school
1273,2014,AK,Alaska,Percent of adults aged 18 years and older who have obesity,28.3,28.3,1060.0,,,High school graduate,,,,"(64.84507995700051, -147.72205903599973)",2,Education,High school graduate
1274,2014,AK,Alaska,Percent of adults aged 18 years and older who have obesity,34.0,34.0,1217.0,,,Some college or technical school,,,,"(64.84507995700051, -147.72205903599973)",2,Education,Some college or technical school
1275,2014,AK,Alaska,Percent of adults aged 18 years and older who have obesity,23.4,23.4,1628.0,,,College graduate,,,,"(64.84507995700051, -147.72205903599973)",2,Education,College graduate
1276,2014,AK,Alaska,Percent of adults aged 18 years and older who have obesity,14.0,14.0,230.0,,18 - 24,,,,,"(64.84507995700051, -147.72205903599973)",2,Age (years),18 - 24
1277,2014,AK,Alaska,Percent of adults aged 18 years and older who have obesity,28.0,28.0,519.0,,25 - 34,,,,,"(64.84507995700051, -147.72205903599973)",2,Age (years),25 - 34
1278,2014,AK,Alaska,Percent of adults aged 18 years and older who have obesity,33.6,33.6,612.0,,35 - 44,,,,,"(64.84507995700051, -147.72205903599973)",2,Age (years),35 - 44
1279,2014,AK,Alaska,Percent of adults aged 18 years and older who have obesity,35.2,35.2,848.0,,45 - 54,,,,,"(64.84507995700051, -147.72205903599973)",2,Age (years),45 - 54
1280,2014,AK,Alaska,Percent of adults aged 18 years and older who have obesity,34.5,34.5,1003.0,,55 - 64,,,,,"(64.84507995700051, -147.72205903599973)",2,Age (years),55 - 64
1281,2014,AK,Alaska,Percent of adults aged 18 years and older who have obesity,29.6,29.6,930.0,,65 or older,,,,,"(64.84507995700051, -147.72205903599973)",2,Age (years),65 or older
1282,2014,AK,Alaska,Percent of adults aged 18 years and older who have obesity,31.5,31.5,318.0,,,,,"Less than $15,000",,"(64.84507995700051, -147.72205903599973)",2,Income,"Less than $15,000"
1283,2014,AK,Alaska,Percent of adults aged 18 years and older who have obesity,29.6,29.6,435.0,,,,,"$15,000 - $24,999",,"(64.84507995700051, -147.72205903599973)",2,Income,"$15,000 - $24,999"
1284,2014,AK,Alaska,Percent of adults aged 18 years and older who have obesity,32.9,32.9,303.0,,,,,"$25,000 - $34,999",,"(64.84507995700051, -147.72205903599973)",2,Income,"$25,000 - $34,999"
1285,2014,AK,Alaska,Percent of adults aged 18 years and older who have obesity,36.0,36.0,488.0,,,,,"$35,000 - $49,999",,"(64.84507995700051, -147.72205903599973)",2,Income,"$35,000 - $49,999"
1286,2014,AK,Alaska,Percent of adults aged 18 years and older who have obesity,30.2,30.2,630.0,,,,,"$50,000 - $74,999",,"(64.84507995700051, -147.72205903599973)",2,Income,"$50,000 - $74,999"
1287,2014,AK,Alaska,Percent of adults aged 18 years and older who have obesity,29.3,29.3,1587.0,,,,,"$75,000 or greater",,"(64.84507995700051, -147.72205903599973)",2,Income,"$75,000 or greater"
1288,2014,AK,Alaska,Percent of adults aged 18 years and older who have obesity,18.8,18.8,381.0,,,,,Data not reported,,"(64.84507995700051, -147.72205903599973)",2,Income,Data not reported
1289,2014,AK,Alaska,Percent of adults aged 18 years and older who have obesity,28.6,28.6,3102.0,,,,,,Non-Hispanic White,"(64.84507995700051, -147.72205903599973)",2,Race/Ethnicity,Non-Hispanic White
1290,2014,AK,Alaska,Percent of adults aged 18 years and older who have obesity,42.3,42.3,54.0,,,,,,Non-Hispanic Black,"(64.84507995700051, -147.72205903599973)",2,Race/Ethnicity,Non-Hispanic Black
1291,2014,AK,Alaska,Percent of adults aged 18 years and older who have obesity,29.6,29.6,120.0,,,,,,Hispanic,"(64.84507995700051, -147.72205903599973)",2,Race/Ethnicity,Hispanic
1292,2014,AK,Alaska,Percent of adults aged 18 years and older who have obesity,17.8,17.8,73.0,,,,,,Asian,"(64.84507995700051, -147.72205903599973)",2,Race/Ethnicity,Asian
1293,2014,AK,Alaska,Percent of adults aged 18 years and older who have obesity,,,,,,,,,Hawaiian/Pacific Islander,"(64.84507995700051, -147.72205903599973)",2,Race/Ethnicity,Hawaiian/Pacific Islander
1294,2014,AK,Alaska,Percent of adults aged 18 years and older who have obesity,33.8,33.8,492.0,,,,,,American Indian/Alaska Native,"(64.84507995700051, -147.72205903599973)",2,Race/Ethnicity,American Indian/Alaska Native
1295,2014,AK,Alaska,Percent of adults aged 18 years and older who have obesity,34.0,34.0,158.0,,,,,,2 or more races,"(64.84507995700051, -147.72205903599973)",2,Race/Ethnicity,2 or more races
1296,2014,AK,Alaska,Percent of adults aged 18 years and older who have obesity,,,,,,,,,Other,"(64.84507995700051, -147.72205903599973)",2,Race/Ethnicity,Other
1297,2014,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,35.1,35.1,4142.0,Total,,,,,,"(64.84507995700051, -147.72205903599973)",2,Total,Total
1298,2014,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,40.1,40.1,1921.0,,,,Male,,,"(64.84507995700051, -147.72205903599973)",2,Gender,Male
1299,2014,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,29.4,29.4,2221.0,,,,Female,,,"(64.84507995700051, -147.72205903599973)",2,Gender,Female
1300,2014,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,36.3,36.3,218.0,,,Less than high school,,,,"(64.84507995700051, -147.72205903599973)",2,Education,Less than high school
1301,2014,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,34.8,34.8,1060.0,,,High school graduate,,,,"(64.84507995700051, -147.72205903599973)",2,Education,High school graduate
1302,2014,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,34.4,34.4,1217.0,,,Some college or technical school,,,,"(64.84507995700051, -147.72205903599973)",2,Education,Some college or technical school
1303,2014,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,36.4,36.4,1628.0,,,College graduate,,,,"(64.84507995700051, -147.72205903599973)",2,Education,College graduate
1304,2014,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,29.8,29.8,230.0,,18 - 24,,,,,"(64.84507995700051, -147.72205903599973)",2,Age (years),18 - 24
1305,2014,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,30.2,30.2,519.0,,25 - 34,,,,,"(64.84507995700051, -147.72205903599973)",2,Age (years),25 - 34
1306,2014,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,35.9,35.9,612.0,,35 - 44,,,,,"(64.84507995700051, -147.72205903599973)",2,Age (years),35 - 44
1307,2014,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,35.8,35.8,848.0,,45 - 54,,,,,"(64.84507995700051, -147.72205903599973)",2,Age (years),45 - 54
1308,2014,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,38.7,38.7,1003.0,,55 - 64,,,,,"(64.84507995700051, -147.72205903599973)",2,Age (years),55 - 64
1309,2014,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,41.3,41.3,930.0,,65 or older,,,,,"(64.84507995700051, -147.72205903599973)",2,Age (years),65 or older
1310,2014,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,34.1,34.1,318.0,,,,,"Less than $15,000",,"(64.84507995700051, -147.72205903599973)",2,Income,"Less than $15,000"
1311,2014,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,28.0,28.0,435.0,,,,,"$15,000 - $24,999",,"(64.84507995700051, -147.72205903599973)",2,Income,"$15,000 - $24,999"
1312,2014,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,28.9,28.9,303.0,,,,,"$25,000 - $34,999",,"(64.84507995700051, -147.72205903599973)",2,Income,"$25,000 - $34,999"
1313,2014,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,31.6,31.6,488.0,,,,,"$35,000 - $49,999",,"(64.84507995700051, -147.72205903599973)",2,Income,"$35,000 - $49,999"
1314,2014,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,42.2,42.2,630.0,,,,,"$50,000 - $74,999",,"(64.84507995700051, -147.72205903599973)",2,Income,"$50,000 - $74,999"
1315,2014,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,37.0,37.0,1587.0,,,,,"$75,000 or greater",,"(64.84507995700051, -147.72205903599973)",2,Income,"$75,000 or greater"
1316,2014,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,36.9,36.9,381.0,,,,,Data not reported,,"(64.84507995700051, -147.72205903599973)",2,Income,Data not reported
1317,2014,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,35.6,35.6,3102.0,,,,,,Non-Hispanic White,"(64.84507995700051, -147.72205903599973)",2,Race/Ethnicity,Non-Hispanic White
1318,2014,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,34.6,34.6,54.0,,,,,,Non-Hispanic Black,"(64.84507995700051, -147.72205903599973)",2,Race/Ethnicity,Non-Hispanic Black
1319,2014,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,44.7,44.7,120.0,,,,,,Hispanic,"(64.84507995700051, -147.72205903599973)",2,Race/Ethnicity,Hispanic
1320,2014,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,20.4,20.4,73.0,,,,,,Asian,"(64.84507995700051, -147.72205903599973)",2,Race/Ethnicity,Asian
1321,2014,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,,,,,,,,,Hawaiian/Pacific Islander,"(64.84507995700051, -147.72205903599973)",2,Race/Ethnicity,Hawaiian/Pacific Islander
1322,2014,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,34.1,34.1,492.0,,,,,,American Indian/Alaska Native,"(64.84507995700051, -147.72205903599973)",2,Race/Ethnicity,American Indian/Alaska Native
1323,2014,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,37.3,37.3,158.0,,,,,,2 or more races,"(64.84507995700051, -147.72205903599973)",2,Race/Ethnicity,2 or more races
1324,2014,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,,,,,,,,,Other,"(64.84507995700051, -147.72205903599973)",2,Race/Ethnicity,Other
1944,2014,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,28.9,28.9,13849.0,Total,,,,,,"(34.865970280000454, -111.76381127699972)",4,Total,Total
1945,2014,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,29.1,29.1,5774.0,,,,Male,,,"(34.865970280000454, -111.76381127699972)",4,Gender,Male
1946,2014,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,28.8,28.8,8075.0,,,,Female,,,"(34.865970280000454, -111.76381127699972)",4,Gender,Female
1947,2014,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,32.1,32.1,1004.0,,,Less than high school,,,,"(34.865970280000454, -111.76381127699972)",4,Education,Less than high school
1948,2014,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,29.8,29.8,3230.0,,,High school graduate,,,,"(34.865970280000454, -111.76381127699972)",4,Education,High school graduate
1949,2014,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,6.6,6.6,198.0,,,,,,Asian,"(34.865970280000454, -111.76381127699972)",4,Race/Ethnicity,Asian
1950,2014,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,32.1,32.1,4149.0,,,Some college or technical school,,,,"(34.865970280000454, -111.76381127699972)",4,Education,Some college or technical school
1951,2014,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,21.6,21.6,5423.0,,,College graduate,,,,"(34.865970280000454, -111.76381127699972)",4,Education,College graduate
1952,2014,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,16.6,16.6,440.0,,18 - 24,,,,,"(34.865970280000454, -111.76381127699972)",4,Age (years),18 - 24
1953,2014,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,29.1,29.1,853.0,,25 - 34,,,,,"(34.865970280000454, -111.76381127699972)",4,Age (years),25 - 34
1954,2014,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,33.3,33.3,1347.0,,35 - 44,,,,,"(34.865970280000454, -111.76381127699972)",4,Age (years),35 - 44
1955,2014,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,34.9,34.9,2001.0,,45 - 54,,,,,"(34.865970280000454, -111.76381127699972)",4,Age (years),45 - 54
1956,2014,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,33.5,33.5,2979.0,,55 - 64,,,,,"(34.865970280000454, -111.76381127699972)",4,Age (years),55 - 64
1957,2014,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,24.7,24.7,6229.0,,65 or older,,,,,"(34.865970280000454, -111.76381127699972)",4,Age (years),65 or older
1958,2014,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,33.6,33.6,1291.0,,,,,"Less than $15,000",,"(34.865970280000454, -111.76381127699972)",4,Income,"Less than $15,000"
1959,2014,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,34.6,34.6,2096.0,,,,,"$15,000 - $24,999",,"(34.865970280000454, -111.76381127699972)",4,Income,"$15,000 - $24,999"
1960,2014,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,28.4,28.4,1355.0,,,,,"$25,000 - $34,999",,"(34.865970280000454, -111.76381127699972)",4,Income,"$25,000 - $34,999"
1961,2014,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,31.4,31.4,1864.0,,,,,"$35,000 - $49,999",,"(34.865970280000454, -111.76381127699972)",4,Income,"$35,000 - $49,999"
1962,2014,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,25.9,25.9,1938.0,,,,,"$50,000 - $74,999",,"(34.865970280000454, -111.76381127699972)",4,Income,"$50,000 - $74,999"
1963,2014,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,26.5,26.5,3258.0,,,,,"$75,000 or greater",,"(34.865970280000454, -111.76381127699972)",4,Income,"$75,000 or greater"
1964,2014,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,23.2,23.2,2047.0,,,,,Data not reported,,"(34.865970280000454, -111.76381127699972)",4,Income,Data not reported
1965,2014,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,26.4,26.4,10538.0,,,,,,Non-Hispanic White,"(34.865970280000454, -111.76381127699972)",4,Race/Ethnicity,Non-Hispanic White
1966,2014,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,36.7,36.7,381.0,,,,,,Non-Hispanic Black,"(34.865970280000454, -111.76381127699972)",4,Race/Ethnicity,Non-Hispanic Black
1967,2014,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,34.0,34.0,1814.0,,,,,,Hispanic,"(34.865970280000454, -111.76381127699972)",4,Race/Ethnicity,Hispanic
1968,2014,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,,,,,,,,,Hawaiian/Pacific Islander,"(34.865970280000454, -111.76381127699972)",4,Race/Ethnicity,Hawaiian/Pacific Islander
1969,2014,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,44.6,44.6,319.0,,,,,,American Indian/Alaska Native,"(34.865970280000454, -111.76381127699972)",4,Race/Ethnicity,American Indian/Alaska Native
1970,2014,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,29.5,29.5,161.0,,,,,,2 or more races,"(34.865970280000454, -111.76381127699972)",4,Race/Ethnicity,2 or more races
1971,2014,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,26.1,26.1,133.0,,,,,,Other,"(34.865970280000454, -111.76381127699972)",4,Race/Ethnicity,Other
1972,2014,AZ,Arizona,Percent of adults aged 18 years and older who have an overweight classification,35.1,35.1,13849.0,Total,,,,,,"(34.865970280000454, -111.76381127699972)",4,Total,Total
1973,2014,AZ,Arizona,Percent of adults aged 18 years and older who have an overweight classification,40.4,40.4,5774.0,,,,Male,,,"(34.865970280000454, -111.76381127699972)",4,Gender,Male
1974,2014,AZ,Arizona,Percent of adults aged 18 years and older who have an overweight classification,29.5,29.5,8075.0,,,,Female,,,"(34.865970280000454, -111.76381127699972)",4,Gender,Female
1975,2014,AZ,Arizona,Percent of adults aged 18 years and older who have an overweight classification,36.1,36.1,1004.0,,,Less than high school,,,,"(34.865970280000454, -111.76381127699972)",4,Education,Less than high school
1976,2014,AZ,Arizona,Percent of adults aged 18 years and older who have an overweight classification,33.7,33.7,3230.0,,,High school graduate,,,,"(34.865970280000454, -111.76381127699972)",4,Education,High school graduate
1977,2014,AZ,Arizona,Percent of adults aged 18 years and older who have an overweight classification,33.3,33.3,4149.0,,,Some college or technical school,,,,"(34.865970280000454, -111.76381127699972)",4,Education,Some college or technical school
