,YearStart,LocationAbbr,LocationDesc,Question,Data_Value,Data_Value_Alt,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,LocationID,StratificationCategory1,Stratification1
45793,2015,AL,Alabama,Percent of adults aged 18 years and older who have obesity,32.3,32.3,5075.0,,,,,,Non-Hispanic White,"(32.84057112200048, -86.63186076199969)",1,Race/Ethnicity,Non-Hispanic White
45794,2015,AL,Alabama,Percent of adults aged 18 years and older who have obesity,39.4,39.4,112.0,,,,,,American Indian/Alaska Native,"(32.84057112200048, -86.63186076199969)",1,Race/Ethnicity,American Indian/Alaska Native
45795,2015,AL,Alabama,Percent of adults aged 18 years and older who have obesity,39.6,39.6,75.0,,,,,,2 or more races,"(32.84057112200048, -86.63186076199969)",1,Race/Ethnicity,2 or more races
45796,2015,AL,Alabama,Percent of adults aged 18 years and older who have obesity,46.5,46.5,1876.0,,,,,,Non-Hispanic Black,"(32.84057112200048, -86.63186076199969)",1,Race/Ethnicity,Non-Hispanic Black
45797,2015,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,22.4,22.4,436.0,,18 - 24,,,,,"(32.84057112200048, -86.63186076199969)",1,Age (years),18 - 24
45798,2015,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,29.6,29.6,686.0,,25 - 34,,,,,"(32.84057112200048, -86.63186076199969)",1,Age (years),25 - 34
45799,2015,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,33.6,33.6,836.0,,35 - 44,,,,,"(32.84057112200048, -86.63186076199969)",1,Age (years),35 - 44
45800,2015,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,34.5,34.5,1244.0,,45 - 54,,,,,"(32.84057112200048, -86.63186076199969)",1,Age (years),45 - 54
45801,2015,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,36.1,36.1,1694.0,,55 - 64,,,,,"(32.84057112200048, -86.63186076199969)",1,Age (years),55 - 64
45802,2015,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,37.8,37.8,2487.0,,65 or older,,,,,"(32.84057112200048, -86.63186076199969)",1,Age (years),65 or older
45803,2015,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,29.0,29.0,888.0,,,Less than high school,,,,"(32.84057112200048, -86.63186076199969)",1,Education,Less than high school
45804,2015,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,32.6,32.6,2336.0,,,High school graduate,,,,"(32.84057112200048, -86.63186076199969)",1,Education,High school graduate
45805,2015,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,34.4,34.4,2078.0,,,Some college or technical school,,,,"(32.84057112200048, -86.63186076199969)",1,Education,Some college or technical school
45806,2015,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,34.8,34.8,2068.0,,,College graduate,,,,"(32.84057112200048, -86.63186076199969)",1,Education,College graduate
45807,2015,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,28.4,28.4,4425.0,,,,Female,,,"(32.84057112200048, -86.63186076199969)",1,Gender,Female
45808,2015,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,37.8,37.8,2958.0,,,,Male,,,"(32.84057112200048, -86.63186076199969)",1,Gender,Male
45809,2015,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,25.1,25.1,922.0,,,,,"Less than $15,000",,"(32.84057112200048, -86.63186076199969)",1,Income,"Less than $15,000"
45810,2015,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,29.6,29.6,1298.0,,,,,Data not reported,,"(32.84057112200048, -86.63186076199969)",1,Income,Data not reported
45811,2015,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,31.0,31.0,1302.0,,,,,"$15,000 - $24,999",,"(32.84057112200048, -86.63186076199969)",1,Income,"$15,000 - $24,999"
45812,2015,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,35.2,35.2,683.0,,,,,"$25,000 - $34,999",,"(32.84057112200048, -86.63186076199969)",1,Income,"$25,000 - $34,999"
45813,2015,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,35.5,35.5,1427.0,,,,,"$75,000 or greater",,"(32.84057112200048, -86.63186076199969)",1,Income,"$75,000 or greater"
45814,2015,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,36.9,36.9,843.0,,,,,"$35,000 - $49,999",,"(32.84057112200048, -86.63186076199969)",1,Income,"$35,000 - $49,999"
45815,2015,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,38.3,38.3,908.0,,,,,"$50,000 - $74,999",,"(32.84057112200048, -86.63186076199969)",1,Income,"$50,000 - $74,999"
45816,2015,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,33.0,33.0,7383.0,Total,,,,,,"(32.84057112200048, -86.63186076199969)",1,Total,Total
45817,2015,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,,,,,,,,,Asian,"(32.84057112200048, -86.63186076199969)",1,Race/Ethnicity,Asian
45818,2015,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,,,,,,,,,Hawaiian/Pacific Islander,"(32.84057112200048, -86.63186076199969)",1,Race/Ethnicity,Hawaiian/Pacific Islander
45819,2015,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,,,,,,,,,Other,"(32.84057112200048, -86.63186076199969)",1,Race/Ethnicity,Other
45820,2015,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,22.4,22.4,112.0,,,,,,American Indian/Alaska Native,"(32.84057112200048, -86.63186076199969)",1,Race/Ethnicity,American Indian/Alaska Native
45821,2015,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,29.4,29.4,1876.0,,,,,,Non-Hispanic Black,"(32.84057112200048, -86.63186076199969)",1,Race/Ethnicity,Non-Hispanic Black
45822,2015,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,33.7,33.7,75.0,,,,,,2 or more races,"(32.84057112200048, -86.63186076199969)",1,Race/Ethnicity,2 or more races
45823,2015,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,34.3,34.3,5075.0,,,,,,Non-Hispanic White,"(32.84057112200048, -86.63186076199969)",1,Race/Ethnicity,Non-Hispanic White
45824,2015,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,45.0,45.0,88.0,,,,,,Hispanic,"(32.84057112200048, -86.63186076199969)",1,Race/Ethnicity,Hispanic
45825,2015,AK,Alaska,Percent of adults aged 18 years and older who have obesity,19.2,19.2,193.0,,18 - 24,,,,,"(64.84507995700051, -147.72205903599973)",2,Age (years),18 - 24
45826,2015,AK,Alaska,Percent of adults aged 18 years and older who have obesity,29.8,29.8,416.0,,25 - 34,,,,,"(64.84507995700051, -147.72205903599973)",2,Age (years),25 - 34
45827,2015,AK,Alaska,Percent of adults aged 18 years and older who have obesity,30.6,30.6,853.0,,55 - 64,,,,,"(64.84507995700051, -147.72205903599973)",2,Age (years),55 - 64
45828,2015,AK,Alaska,Percent of adults aged 18 years and older who have obesity,30.8,30.8,669.0,,45 - 54,,,,,"(64.84507995700051, -147.72205903599973)",2,Age (years),45 - 54
45829,2015,AK,Alaska,Percent of adults aged 18 years and older who have obesity,34.7,34.7,844.0,,65 or older,,,,,"(64.84507995700051, -147.72205903599973)",2,Age (years),65 or older
45830,2015,AK,Alaska,Percent of adults aged 18 years and older who have obesity,26.7,26.7,1290.0,,,College graduate,,,,"(64.84507995700051, -147.72205903599973)",2,Education,College graduate
45831,2015,AK,Alaska,Percent of adults aged 18 years and older who have obesity,28.4,28.4,922.0,,,High school graduate,,,,"(64.84507995700051, -147.72205903599973)",2,Education,High school graduate
45832,2015,AK,Alaska,Percent of adults aged 18 years and older who have obesity,30.2,30.2,227.0,,,Less than high school,,,,"(64.84507995700051, -147.72205903599973)",2,Education,Less than high school
45833,2015,AK,Alaska,Percent of adults aged 18 years and older who have obesity,33.0,33.0,983.0,,,Some college or technical school,,,,"(64.84507995700051, -147.72205903599973)",2,Education,Some college or technical school
45834,2015,AK,Alaska,Percent of adults aged 18 years and older who have obesity,29.3,29.3,1642.0,,,,Male,,,"(64.84507995700051, -147.72205903599973)",2,Gender,Male
45835,2015,AK,Alaska,Percent of adults aged 18 years and older who have obesity,30.5,30.5,1792.0,,,,Female,,,"(64.84507995700051, -147.72205903599973)",2,Gender,Female
45836,2015,AK,Alaska,Percent of adults aged 18 years and older who have obesity,21.9,21.9,330.0,,,,,Data not reported,,"(64.84507995700051, -147.72205903599973)",2,Income,Data not reported
45837,2015,AK,Alaska,Percent of adults aged 18 years and older who have obesity,26.0,26.0,269.0,,,,,"$25,000 - $34,999",,"(64.84507995700051, -147.72205903599973)",2,Income,"$25,000 - $34,999"
45838,2015,AK,Alaska,Percent of adults aged 18 years and older who have obesity,29.0,29.0,512.0,,,,,"$50,000 - $74,999",,"(64.84507995700051, -147.72205903599973)",2,Income,"$50,000 - $74,999"
45839,2015,AK,Alaska,Percent of adults aged 18 years and older who have obesity,30.8,30.8,1274.0,,,,,"$75,000 or greater",,"(64.84507995700051, -147.72205903599973)",2,Income,"$75,000 or greater"
45840,2015,AK,Alaska,Percent of adults aged 18 years and older who have obesity,31.0,31.0,391.0,,,,,"$15,000 - $24,999",,"(64.84507995700051, -147.72205903599973)",2,Income,"$15,000 - $24,999"
45841,2015,AK,Alaska,Percent of adults aged 18 years and older who have obesity,31.7,31.7,368.0,,,,,"$35,000 - $49,999",,"(64.84507995700051, -147.72205903599973)",2,Income,"$35,000 - $49,999"
45842,2015,AK,Alaska,Percent of adults aged 18 years and older who have obesity,40.1,40.1,290.0,,,,,"Less than $15,000",,"(64.84507995700051, -147.72205903599973)",2,Income,"Less than $15,000"
45843,2015,AK,Alaska,Percent of adults aged 18 years and older who have obesity,29.8,29.8,3434.0,Total,,,,,,"(64.84507995700051, -147.72205903599973)",2,Total,Total
45844,2015,AK,Alaska,Percent of adults aged 18 years and older who have obesity,,,,,,,,,Hawaiian/Pacific Islander,"(64.84507995700051, -147.72205903599973)",2,Race/Ethnicity,Hawaiian/Pacific Islander
45845,2015,AK,Alaska,Percent of adults aged 18 years and older who have obesity,,,,,,,,,Other,"(64.84507995700051, -147.72205903599973)",2,Race/Ethnicity,Other
45846,2015,AK,Alaska,Percent of adults aged 18 years and older who have obesity,18.5,18.5,59.0,,,,,,Asian,"(64.84507995700051, -147.72205903599973)",2,Race/Ethnicity,Asian
45847,2015,AK,Alaska,Percent of adults aged 18 years and older who have obesity,28.1,28.1,2407.0,,,,,,Non-Hispanic White,"(64.84507995700051, -147.72205903599973)",2,Race/Ethnicity,Non-Hispanic White
45848,2015,AK,Alaska,Percent of adults aged 18 years and older who have obesity,29.1,29.1,144.0,,,,,,2 or more races,"(64.84507995700051, -147.72205903599973)",2,Race/Ethnicity,2 or more races
45849,2015,AK,Alaska,Percent of adults aged 18 years and older who have obesity,39.1,39.1,585.0,,,,,,American Indian/Alaska Native,"(64.84507995700051, -147.72205903599973)",2,Race/Ethnicity,American Indian/Alaska Native
45850,2015,AK,Alaska,Percent of adults aged 18 years and older who have obesity,39.3,39.3,52.0,,,,,,Non-Hispanic Black,"(64.84507995700051, -147.72205903599973)",2,Race/Ethnicity,Non-Hispanic Black
45851,2015,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,26.3,26.3,193.0,,18 - 24,,,,,"(64.84507995700051, -147.72205903599973)",2,Age (years),18 - 24
45852,2015,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,35.8,35.8,844.0,,65 or older,,,,,"(64.84507995700051, -147.72205903599973)",2,Age (years),65 or older
45853,2015,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,36.5,36.5,416.0,,25 - 34,,,,,"(64.84507995700051, -147.72205903599973)",2,Age (years),25 - 34
45854,2015,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,39.9,39.9,669.0,,45 - 54,,,,,"(64.84507995700051, -147.72205903599973)",2,Age (years),45 - 54
45855,2015,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,40.8,40.8,853.0,,55 - 64,,,,,"(64.84507995700051, -147.72205903599973)",2,Age (years),55 - 64
45856,2015,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,43.1,43.1,459.0,,35 - 44,,,,,"(64.84507995700051, -147.72205903599973)",2,Age (years),35 - 44
45857,2015,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,36.7,36.7,227.0,,,Less than high school,,,,"(64.84507995700051, -147.72205903599973)",2,Education,Less than high school
45858,2015,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,36.8,36.8,922.0,,,High school graduate,,,,"(64.84507995700051, -147.72205903599973)",2,Education,High school graduate
45859,2015,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,37.6,37.6,1290.0,,,College graduate,,,,"(64.84507995700051, -147.72205903599973)",2,Education,College graduate
45860,2015,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,37.9,37.9,983.0,,,Some college or technical school,,,,"(64.84507995700051, -147.72205903599973)",2,Education,Some college or technical school
45861,2015,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,30.9,30.9,1792.0,,,,Female,,,"(64.84507995700051, -147.72205903599973)",2,Gender,Female
45862,2015,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,42.8,42.8,1642.0,,,,Male,,,"(64.84507995700051, -147.72205903599973)",2,Gender,Male
45863,2015,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,20.8,20.8,290.0,,,,,"Less than $15,000",,"(64.84507995700051, -147.72205903599973)",2,Income,"Less than $15,000"
45864,2015,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,33.1,33.1,368.0,,,,,"$35,000 - $49,999",,"(64.84507995700051, -147.72205903599973)",2,Income,"$35,000 - $49,999"
45865,2015,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,35.4,35.4,269.0,,,,,"$25,000 - $34,999",,"(64.84507995700051, -147.72205903599973)",2,Income,"$25,000 - $34,999"
45866,2015,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,36.2,36.2,391.0,,,,,"$15,000 - $24,999",,"(64.84507995700051, -147.72205903599973)",2,Income,"$15,000 - $24,999"
45867,2015,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,36.9,36.9,330.0,,,,,Data not reported,,"(64.84507995700051, -147.72205903599973)",2,Income,Data not reported
45868,2015,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,37.7,37.7,512.0,,,,,"$50,000 - $74,999",,"(64.84507995700051, -147.72205903599973)",2,Income,"$50,000 - $74,999"
45869,2015,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,42.4,42.4,1274.0,,,,,"$75,000 or greater",,"(64.84507995700051, -147.72205903599973)",2,Income,"$75,000 or greater"
45870,2015,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,37.4,37.4,3434.0,Total,,,,,,"(64.84507995700051, -147.72205903599973)",2,Total,Total
45871,2015,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,,,,,,,,,Hawaiian/Pacific Islander,"(64.84507995700051, -147.72205903599973)",2,Race/Ethnicity,Hawaiian/Pacific Islander
45872,2015,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,,,,,,,,,Other,"(64.84507995700051, -147.72205903599973)",2,Race/Ethnicity,Other
45873,2015,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,30.0,30.0,585.0,,,,,,American Indian/Alaska Native,"(64.84507995700051, -147.72205903599973)",2,Race/Ethnicity,American Indian/Alaska Native
45874,2015,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,35.8,35.8,52.0,,,,,,Non-Hispanic Black,"(64.84507995700051, -147.72205903599973)",2,Race/Ethnicity,Non-Hispanic Black
45875,2015,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,36.6,36.6,144.0,,,,,,2 or more races,"(64.84507995700051, -147.72205903599973)",2,Race/Ethnicity,2 or more races
45876,2015,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,36.8,36.8,59.0,,,,,,Asian,"(64.84507995700051, -147.72205903599973)",2,Race/Ethnicity,Asian
45877,2015,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,38.4,38.4,2407.0,,,,,,Non-Hispanic White,"(64.84507995700051, -147.72205903599973)",2,Race/Ethnicity,Non-Hispanic White
45878,2015,AK,Alaska,Percent of adults aged 18 years and older who have an overweight classification,47.1,47.1,91.0,,,,,,Hispanic,"(64.84507995700051, -147.72205903599973)",2,Race/Ethnicity,Hispanic
45879,2015,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,17.5,17.5,284.0,,18 - 24,,,,,"(34.865970280000454, -111.76381127699972)",4,Age (years),18 - 24
45880,2015,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,24.2,24.2,3142.0,,65 or older,,,,,"(34.865970280000454, -111.76381127699972)",4,Age (years),65 or older
45881,2015,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,29.5,29.5,515.0,,25 - 34,,,,,"(34.865970280000454, -111.76381127699972)",4,Age (years),25 - 34
45882,2015,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,32.1,32.1,1019.0,,45 - 54,,,,,"(34.865970280000454, -111.76381127699972)",4,Age (years),45 - 54
45883,2015,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,21.0,21.0,2831.0,,,College graduate,,,,"(34.865970280000454, -111.76381127699972)",4,Education,College graduate
45884,2015,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,28.2,28.2,1639.0,,,High school graduate,,,,"(34.865970280000454, -111.76381127699972)",4,Education,High school graduate
45885,2015,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,30.3,30.3,2181.0,,,Some college or technical school,,,,"(34.865970280000454, -111.76381127699972)",4,Education,Some college or technical school
45886,2015,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,37.5,37.5,478.0,,,Less than high school,,,,"(34.865970280000454, -111.76381127699972)",4,Education,Less than high school
45887,2015,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,27.1,27.1,4083.0,,,,Female,,,"(34.865970280000454, -111.76381127699972)",4,Gender,Female
45888,2015,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,29.6,29.6,3069.0,,,,Male,,,"(34.865970280000454, -111.76381127699972)",4,Gender,Male
45889,2015,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,23.6,23.6,1340.0,,,,,Data not reported,,"(34.865970280000454, -111.76381127699972)",4,Income,Data not reported
45890,2015,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,24.8,24.8,1761.0,,,,,"$75,000 or greater",,"(34.865970280000454, -111.76381127699972)",4,Income,"$75,000 or greater"
45891,2015,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,28.0,28.0,631.0,,,,,"$25,000 - $34,999",,"(34.865970280000454, -111.76381127699972)",4,Income,"$25,000 - $34,999"
45892,2015,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,28.4,28.4,910.0,,,,,"$35,000 - $49,999",,"(34.865970280000454, -111.76381127699972)",4,Income,"$35,000 - $49,999"
45893,2015,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,30.5,30.5,916.0,,,,,"$50,000 - $74,999",,"(34.865970280000454, -111.76381127699972)",4,Income,"$50,000 - $74,999"
45894,2015,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,33.5,33.5,1040.0,,,,,"$15,000 - $24,999",,"(34.865970280000454, -111.76381127699972)",4,Income,"$15,000 - $24,999"
