,year,state,state_name,age_pc,Data_Value_Alt,Question,Sample_Size,Total,Age,GeoLocation,LocationID,StratificationCategory1,Stratification1
78,2015,DE,Delaware,39.2,39.2,Percent of adults aged 18 years and older who have an overweight classification,801.0,,55 - 64,"(39.008830667000495, -75.57774116799965)",10,Age (years),55 - 64
79,2015,DE,Delaware,40.6,40.6,Percent of adults aged 18 years and older who have an overweight classification,359.0,,35 - 44,"(39.008830667000495, -75.57774116799965)",10,Age (years),35 - 44
80,2015,DE,Delaware,42.7,42.7,Percent of adults aged 18 years and older who have an overweight classification,1422.0,,65 or older,"(39.008830667000495, -75.57774116799965)",10,Age (years),65 or older
81,2015,DC,District of Columbia,15.4,15.4,Percent of adults aged 18 years and older who have obesity,86.0,,18 - 24,"(38.89037138500049, -77.03196112699965)",11,Age (years),18 - 24
82,2015,DC,District of Columbia,22.5,22.5,Percent of adults aged 18 years and older who have obesity,391.0,,35 - 44,"(38.89037138500049, -77.03196112699965)",11,Age (years),35 - 44
83,2015,DC,District of Columbia,28.0,28.0,Percent of adults aged 18 years and older who have obesity,783.0,,55 - 64,"(38.89037138500049, -77.03196112699965)",11,Age (years),55 - 64
84,2015,DC,District of Columbia,29.7,29.7,Percent of adults aged 18 years and older who have obesity,1599.0,,65 or older,"(38.89037138500049, -77.03196112699965)",11,Age (years),65 or older
85,2015,DC,District of Columbia,33.7,33.7,Percent of adults aged 18 years and older who have obesity,541.0,,45 - 54,"(38.89037138500049, -77.03196112699965)",11,Age (years),45 - 54
86,2015,DC,District of Columbia,17.1,17.1,Percent of adults aged 18 years and older who have an overweight classification,86.0,,18 - 24,"(38.89037138500049, -77.03196112699965)",11,Age (years),18 - 24
87,2015,DC,District of Columbia,32.0,32.0,Percent of adults aged 18 years and older who have an overweight classification,1599.0,,65 or older,"(38.89037138500049, -77.03196112699965)",11,Age (years),65 or older
88,2015,DC,District of Columbia,33.5,33.5,Percent of adults aged 18 years and older who have an overweight classification,783.0,,55 - 64,"(38.89037138500049, -77.03196112699965)",11,Age (years),55 - 64
89,2015,DC,District of Columbia,33.8,33.8,Percent of adults aged 18 years and older who have an overweight classification,541.0,,45 - 54,"(38.89037138500049, -77.03196112699965)",11,Age (years),45 - 54
90,2015,DC,District of Columbia,38.5,38.5,Percent of adults aged 18 years and older who have an overweight classification,391.0,,35 - 44,"(38.89037138500049, -77.03196112699965)",11,Age (years),35 - 44
91,2015,FL,Florida,16.5,16.5,Percent of adults aged 18 years and older who have obesity,455.0,,18 - 24,"(28.932040377000476, -81.92896053899966)",12,Age (years),18 - 24
92,2015,FL,Florida,25.8,25.8,Percent of adults aged 18 years and older who have obesity,4129.0,,65 or older,"(28.932040377000476, -81.92896053899966)",12,Age (years),65 or older
93,2015,FL,Florida,28.0,28.0,Percent of adults aged 18 years and older who have obesity,798.0,,35 - 44,"(28.932040377000476, -81.92896053899966)",12,Age (years),35 - 44
94,2015,FL,Florida,30.3,30.3,Percent of adults aged 18 years and older who have obesity,1755.0,,55 - 64,"(28.932040377000476, -81.92896053899966)",12,Age (years),55 - 64
95,2015,FL,Florida,33.8,33.8,Percent of adults aged 18 years and older who have obesity,1194.0,,45 - 54,"(28.932040377000476, -81.92896053899966)",12,Age (years),45 - 54
96,2015,FL,Florida,25.4,25.4,Percent of adults aged 18 years and older who have an overweight classification,455.0,,18 - 24,"(28.932040377000476, -81.92896053899966)",12,Age (years),18 - 24
97,2015,FL,Florida,35.3,35.3,Percent of adults aged 18 years and older who have an overweight classification,1194.0,,45 - 54,"(28.932040377000476, -81.92896053899966)",12,Age (years),45 - 54
98,2015,FL,Florida,36.3,36.3,Percent of adults aged 18 years and older who have an overweight classification,798.0,,35 - 44,"(28.932040377000476, -81.92896053899966)",12,Age (years),35 - 44
99,2015,FL,Florida,40.0,40.0,Percent of adults aged 18 years and older who have an overweight classification,1755.0,,55 - 64,"(28.932040377000476, -81.92896053899966)",12,Age (years),55 - 64
100,2015,FL,Florida,40.2,40.2,Percent of adults aged 18 years and older who have an overweight classification,4129.0,,65 or older,"(28.932040377000476, -81.92896053899966)",12,Age (years),65 or older
101,2015,GA,Georgia,16.0,16.0,Percent of adults aged 18 years and older who have obesity,201.0,,18 - 24,"(32.83968109300048, -83.62758034599966)",13,Age (years),18 - 24
102,2015,GA,Georgia,29.7,29.7,Percent of adults aged 18 years and older who have obesity,1572.0,,65 or older,"(32.83968109300048, -83.62758034599966)",13,Age (years),65 or older
103,2015,GA,Georgia,36.0,36.0,Percent of adults aged 18 years and older who have obesity,691.0,,45 - 54,"(32.83968109300048, -83.62758034599966)",13,Age (years),45 - 54
104,2015,GA,Georgia,37.9,37.9,Percent of adults aged 18 years and older who have obesity,944.0,,55 - 64,"(32.83968109300048, -83.62758034599966)",13,Age (years),55 - 64
105,2015,GA,Georgia,27.4,27.4,Percent of adults aged 18 years and older who have an overweight classification,201.0,,18 - 24,"(32.83968109300048, -83.62758034599966)",13,Age (years),18 - 24
106,2015,GA,Georgia,36.3,36.3,Percent of adults aged 18 years and older who have an overweight classification,691.0,,45 - 54,"(32.83968109300048, -83.62758034599966)",13,Age (years),45 - 54
107,2015,GA,Georgia,36.7,36.7,Percent of adults aged 18 years and older who have an overweight classification,944.0,,55 - 64,"(32.83968109300048, -83.62758034599966)",13,Age (years),55 - 64
108,2015,GA,Georgia,37.1,37.1,Percent of adults aged 18 years and older who have an overweight classification,1572.0,,65 or older,"(32.83968109300048, -83.62758034599966)",13,Age (years),65 or older
109,2015,GA,Georgia,37.4,37.4,Percent of adults aged 18 years and older who have an overweight classification,484.0,,35 - 44,"(32.83968109300048, -83.62758034599966)",13,Age (years),35 - 44
110,2015,HI,Hawaii,14.1,14.1,Percent of adults aged 18 years and older who have obesity,473.0,,18 - 24,"(21.304850435000446, -157.85774940299973)",15,Age (years),18 - 24
111,2015,HI,Hawaii,17.9,17.9,Percent of adults aged 18 years and older who have obesity,2237.0,,65 or older,"(21.304850435000446, -157.85774940299973)",15,Age (years),65 or older
112,2015,HI,Hawaii,23.8,23.8,Percent of adults aged 18 years and older who have obesity,1522.0,,55 - 64,"(21.304850435000446, -157.85774940299973)",15,Age (years),55 - 64
113,2015,HI,Hawaii,26.5,26.5,Percent of adults aged 18 years and older who have obesity,1036.0,,45 - 54,"(21.304850435000446, -157.85774940299973)",15,Age (years),45 - 54
114,2015,HI,Hawaii,30.7,30.7,Percent of adults aged 18 years and older who have obesity,806.0,,35 - 44,"(21.304850435000446, -157.85774940299973)",15,Age (years),35 - 44
115,2015,HI,Hawaii,26.4,26.4,Percent of adults aged 18 years and older who have an overweight classification,473.0,,18 - 24,"(21.304850435000446, -157.85774940299973)",15,Age (years),18 - 24
116,2015,HI,Hawaii,34.6,34.6,Percent of adults aged 18 years and older who have an overweight classification,2237.0,,65 or older,"(21.304850435000446, -157.85774940299973)",15,Age (years),65 or older
117,2015,HI,Hawaii,35.1,35.1,Percent of adults aged 18 years and older who have an overweight classification,806.0,,35 - 44,"(21.304850435000446, -157.85774940299973)",15,Age (years),35 - 44
118,2015,HI,Hawaii,38.1,38.1,Percent of adults aged 18 years and older who have an overweight classification,1036.0,,45 - 54,"(21.304850435000446, -157.85774940299973)",15,Age (years),45 - 54
119,2015,HI,Hawaii,39.6,39.6,Percent of adults aged 18 years and older who have an overweight classification,1522.0,,55 - 64,"(21.304850435000446, -157.85774940299973)",15,Age (years),55 - 64
120,2015,ID,Idaho,15.5,15.5,Percent of adults aged 18 years and older who have obesity,276.0,,18 - 24,"(43.682630005000476, -114.3637300419997)",16,Age (years),18 - 24
121,2015,ID,Idaho,27.3,27.3,Percent of adults aged 18 years and older who have obesity,1990.0,,65 or older,"(43.682630005000476, -114.3637300419997)",16,Age (years),65 or older
122,2015,ID,Idaho,31.2,31.2,Percent of adults aged 18 years and older who have obesity,649.0,,35 - 44,"(43.682630005000476, -114.3637300419997)",16,Age (years),35 - 44
123,2015,ID,Idaho,31.9,31.9,Percent of adults aged 18 years and older who have obesity,783.0,,45 - 54,"(43.682630005000476, -114.3637300419997)",16,Age (years),45 - 54
124,2015,ID,Idaho,34.6,34.6,Percent of adults aged 18 years and older who have obesity,1192.0,,55 - 64,"(43.682630005000476, -114.3637300419997)",16,Age (years),55 - 64
125,2015,ID,Idaho,27.7,27.7,Percent of adults aged 18 years and older who have an overweight classification,276.0,,18 - 24,"(43.682630005000476, -114.3637300419997)",16,Age (years),18 - 24
126,2015,ID,Idaho,35.9,35.9,Percent of adults aged 18 years and older who have an overweight classification,649.0,,35 - 44,"(43.682630005000476, -114.3637300419997)",16,Age (years),35 - 44
127,2015,ID,Idaho,38.2,38.2,Percent of adults aged 18 years and older who have an overweight classification,783.0,,45 - 54,"(43.682630005000476, -114.3637300419997)",16,Age (years),45 - 54
128,2015,ID,Idaho,38.7,38.7,Percent of adults aged 18 years and older who have an overweight classification,1192.0,,55 - 64,"(43.682630005000476, -114.3637300419997)",16,Age (years),55 - 64
129,2015,ID,Idaho,40.8,40.8,Percent of adults aged 18 years and older who have an overweight classification,1990.0,,65 or older,"(43.682630005000476, -114.3637300419997)",16,Age (years),65 or older
130,2015,IL,Illinois,17.1,17.1,Percent of adults aged 18 years and older who have obesity,348.0,,18 - 24,"(40.48501028300046, -88.99771017799969)",17,Age (years),18 - 24
131,2015,IL,Illinois,31.3,31.3,Percent of adults aged 18 years and older who have obesity,1755.0,,65 or older,"(40.48501028300046, -88.99771017799969)",17,Age (years),65 or older
132,2015,IL,Illinois,34.9,34.9,Percent of adults aged 18 years and older who have obesity,561.0,,35 - 44,"(40.48501028300046, -88.99771017799969)",17,Age (years),35 - 44
133,2015,IL,Illinois,35.2,35.2,Percent of adults aged 18 years and older who have obesity,871.0,,45 - 54,"(40.48501028300046, -88.99771017799969)",17,Age (years),45 - 54
134,2015,IL,Illinois,37.0,37.0,Percent of adults aged 18 years and older who have obesity,1034.0,,55 - 64,"(40.48501028300046, -88.99771017799969)",17,Age (years),55 - 64
135,2015,IL,Illinois,26.3,26.3,Percent of adults aged 18 years and older who have an overweight classification,348.0,,18 - 24,"(40.48501028300046, -88.99771017799969)",17,Age (years),18 - 24
136,2015,IL,Illinois,37.8,37.8,Percent of adults aged 18 years and older who have an overweight classification,561.0,,35 - 44,"(40.48501028300046, -88.99771017799969)",17,Age (years),35 - 44
137,2015,IL,Illinois,38.0,38.0,Percent of adults aged 18 years and older who have an overweight classification,871.0,,45 - 54,"(40.48501028300046, -88.99771017799969)",17,Age (years),45 - 54
138,2015,IL,Illinois,38.6,38.6,Percent of adults aged 18 years and older who have an overweight classification,1034.0,,55 - 64,"(40.48501028300046, -88.99771017799969)",17,Age (years),55 - 64
139,2015,IL,Illinois,38.7,38.7,Percent of adults aged 18 years and older who have an overweight classification,1755.0,,65 or older,"(40.48501028300046, -88.99771017799969)",17,Age (years),65 or older
140,2015,IN,Indiana,22.6,22.6,Percent of adults aged 18 years and older who have obesity,262.0,,18 - 24,"(39.766910452000445, -86.14996019399968)",18,Age (years),18 - 24
141,2015,IN,Indiana,29.5,29.5,Percent of adults aged 18 years and older who have obesity,2209.0,,65 or older,"(39.766910452000445, -86.14996019399968)",18,Age (years),65 or older
142,2015,IN,Indiana,30.9,30.9,Percent of adults aged 18 years and older who have obesity,577.0,,35 - 44,"(39.766910452000445, -86.14996019399968)",18,Age (years),35 - 44
143,2015,IN,Indiana,36.7,36.7,Percent of adults aged 18 years and older who have obesity,1334.0,,55 - 64,"(39.766910452000445, -86.14996019399968)",18,Age (years),55 - 64
144,2015,IN,Indiana,38.0,38.0,Percent of adults aged 18 years and older who have obesity,849.0,,45 - 54,"(39.766910452000445, -86.14996019399968)",18,Age (years),45 - 54
145,2015,IN,Indiana,23.9,23.9,Percent of adults aged 18 years and older who have an overweight classification,262.0,,18 - 24,"(39.766910452000445, -86.14996019399968)",18,Age (years),18 - 24
146,2015,IN,Indiana,35.2,35.2,Percent of adults aged 18 years and older who have an overweight classification,849.0,,45 - 54,"(39.766910452000445, -86.14996019399968)",18,Age (years),45 - 54
147,2015,IN,Indiana,36.2,36.2,Percent of adults aged 18 years and older who have an overweight classification,1334.0,,55 - 64,"(39.766910452000445, -86.14996019399968)",18,Age (years),55 - 64
148,2015,IN,Indiana,39.3,39.3,Percent of adults aged 18 years and older who have an overweight classification,2209.0,,65 or older,"(39.766910452000445, -86.14996019399968)",18,Age (years),65 or older
149,2015,IN,Indiana,39.5,39.5,Percent of adults aged 18 years and older who have an overweight classification,577.0,,35 - 44,"(39.766910452000445, -86.14996019399968)",18,Age (years),35 - 44
150,2015,IA,Iowa,17.8,17.8,Percent of adults aged 18 years and older who have obesity,277.0,,18 - 24,"(42.46940091300047, -93.81649055599968)",19,Age (years),18 - 24
151,2015,IA,Iowa,31.1,31.1,Percent of adults aged 18 years and older who have obesity,2088.0,,65 or older,"(42.46940091300047, -93.81649055599968)",19,Age (years),65 or older
152,2015,IA,Iowa,35.3,35.3,Percent of adults aged 18 years and older who have obesity,1314.0,,55 - 64,"(42.46940091300047, -93.81649055599968)",19,Age (years),55 - 64
153,2015,IA,Iowa,36.6,36.6,Percent of adults aged 18 years and older who have obesity,907.0,,45 - 54,"(42.46940091300047, -93.81649055599968)",19,Age (years),45 - 54
154,2015,IA,Iowa,37.9,37.9,Percent of adults aged 18 years and older who have obesity,597.0,,35 - 44,"(42.46940091300047, -93.81649055599968)",19,Age (years),35 - 44
155,2015,IA,Iowa,29.5,29.5,Percent of adults aged 18 years and older who have an overweight classification,277.0,,18 - 24,"(42.46940091300047, -93.81649055599968)",19,Age (years),18 - 24
156,2015,IA,Iowa,33.4,33.4,Percent of adults aged 18 years and older who have an overweight classification,597.0,,35 - 44,"(42.46940091300047, -93.81649055599968)",19,Age (years),35 - 44
157,2015,IA,Iowa,33.8,33.8,Percent of adults aged 18 years and older who have an overweight classification,907.0,,45 - 54,"(42.46940091300047, -93.81649055599968)",19,Age (years),45 - 54
158,2015,IA,Iowa,38.4,38.4,Percent of adults aged 18 years and older who have an overweight classification,2088.0,,65 or older,"(42.46940091300047, -93.81649055599968)",19,Age (years),65 or older
